name,address,notes,latitude,longitude
Hotel Sofitel Marrakech Lounge and Spa,Rue Haroun Errachid Hivernage Marrakech 40000 Morocco,Starting point,31.6246,-8.0052
Jemaa el-Fnaa,Place Jemaa el-Fnaa Marrakech Morocco,Morning visit,31.6258,-7.9891
Koutoubia Mosque,Avenue Mohammed V Marrakech Morocco,Photo stop,31.6242,-7.9947
Bahia Palace,Avenue Imam El Ghazali Marrakech Morocco,Cultural visit,31.6218,-7.9834
Café des Épices,75 Rahba Kedima Marrakech Morocco,Lunch stop,31.6306,-7.9851
Majorelle Garden,Rue Yves St Laurent Marrakech Morocco,Afternoon visit,31.6417,-7.9897
Ensemble Artisanal,6 Rue Mohamed Beqal Marrakech Morocco,Shopping,31.6288,-7.9972
La Mamounia Gardens,Avenue Bab Jdid Marrakech Morocco,Evening stroll,31.6232,-7.9994
Comptoir Darna,Avenue Echouhada Marrakech Morocco,Dinner venue,31.6231,-8.0072
Hotel Sofitel Marrakech Lounge and Spa,Rue Haroun Errachid Hivernage Marrakech 40000 Morocco,Return point,31.6246,-8.0052
